ts,cell,framework,benchmark,limit,metric,score
2026-06-15T02:24:45,12B-fp8,speed,short,-,tok_s,117.1
2026-06-15T02:24:45,12B-fp8,speed,ctx8k,-,tok_s,110.0
2026-06-15T03:01:54,12B-fp8,lmeval,gpqa_diamond_cot_zeroshot,0,accuracy,0.6515
2026-06-15T03:11:22,12B-fp8,inspect,gpqa_diamond,0,accuracy,0.616
2026-06-15T03:21:40,12B-fp8,inspect,mmlu_pro,500,accuracy,0.814
2026-06-15T03:54:53,26B-fp8,speed,short,-,tok_s,226.4
2026-06-15T03:54:53,26B-fp8,speed,ctx8k,-,tok_s,211.9
2026-06-15T04:23:43,26B-fp8,lmeval,gpqa_diamond_cot_zeroshot,0,accuracy,0.7727
2026-06-15T04:28:58,26B-fp8,inspect,gpqa_diamond,0,accuracy,0.707
2026-06-15T04:35:33,26B-fp8,inspect,mmlu_pro,500,accuracy,0.798
2026-06-15T05:45:27,12B-fp8,hret,haerae_bench,500,accuracy,0.844
2026-06-15T06:10:52,12B-fp8,hret,kmmlu,500,accuracy,0.61
2026-06-15T06:26:40,26B-fp8,hret,haerae_bench,500,accuracy,0.902
2026-06-15T06:43:18,26B-fp8,hret,kmmlu,500,accuracy,0.626
2026-06-15T06:49:51,31B-fp8,speed,short,-,tok_s,67.6
2026-06-15T06:49:51,31B-fp8,speed,ctx8k,-,tok_s,61.8
2026-06-15T07:18:51,31B-fp8,lmeval,gpqa_diamond_cot_zeroshot,0,accuracy,0.8485
2026-06-15T07:24:24,31B-fp8,inspect,gpqa_diamond,0,accuracy,0.763
2026-06-15T07:31:35,31B-fp8,inspect,mmlu_pro,500,accuracy,0.862
2026-06-15T07:34:25,31B-fp8,inspect,ifeval,500,accuracy,0.944
2026-06-15T07:44:43,31B-fp8,hret,haerae_bench,500,accuracy,0.898
2026-06-15T08:01:02,31B-fp8,hret,kmmlu,500,accuracy,0.708
2026-06-15T08:08:20,qwen35-fp8,speed,short,-,tok_s,217.3
2026-06-15T08:08:20,qwen35-fp8,speed,ctx8k,-,tok_s,204.8
2026-06-15T08:28:08,qwen35-fp8,lmeval,gpqa_diamond_cot_zeroshot,0,accuracy,0.803
2026-06-15T08:44:39,qwen35-fp8,inspect,gpqa_diamond,0,accuracy,0.838
2026-06-15T09:03:48,qwen35-fp8,inspect,mmlu_pro,500,accuracy,0.862
2026-06-15T09:26:36,qwen35-fp8,inspect,ifeval,500,accuracy,0.904
2026-06-15T09:36:07,qwen35-fp8,hret,haerae_bench,500,accuracy,0.834
2026-06-15T09:47:45,qwen35-fp8,hret,kmmlu,500,accuracy,0.586
2026-06-15T09:54:54,qwen27-fp8,speed,short,-,tok_s,79.1
2026-06-15T09:54:54,qwen27-fp8,speed,ctx8k,-,tok_s,73.7
2026-06-15T10:27:34,qwen27-fp8,lmeval,gpqa_diamond_cot_zeroshot,0,accuracy,0.8283
2026-06-15T11:00:23,qwen27-fp8,inspect,gpqa_diamond,0,accuracy,0.854
2026-06-15T11:31:05,qwen27-fp8,inspect,mmlu_pro,500,accuracy,0.846
2026-06-15T12:00:00,qwen27-fp8,inspect,ifeval,500,accuracy,0.925
2026-06-15T12:15:53,qwen27-fp8,hret,haerae_bench,500,accuracy,0.85
2026-06-15T12:32:27,qwen27-fp8,hret,kmmlu,500,accuracy,0.634
2026-06-15T12:35:49,12B-bf16,speed,short,-,tok_s,81.8
2026-06-15T12:35:49,12B-bf16,speed,ctx8k,-,tok_s,77.6
2026-06-15T12:45:29,12B-fp8,inspect,ifeval,500,accuracy,0.916
2026-06-15T12:45:29,26B-fp8,inspect,ifeval,500,accuracy,0.919
2026-06-15T13:25:07,12B-bf16,lmeval,gpqa_diamond_cot_zeroshot,0,accuracy,0.6616
2026-06-15T13:37:04,12B-bf16,inspect,gpqa_diamond,0,accuracy,0.652
2026-06-15T13:50:31,12B-bf16,inspect,mmlu_pro,500,accuracy,0.788
2026-06-15T13:58:06,12B-bf16,inspect,ifeval,500,accuracy,0.913
2026-06-15T14:29:21,12B-bf16,hret,haerae_bench,500,accuracy,0.832
2026-06-15T15:03:12,12B-bf16,hret,kmmlu,500,accuracy,0.596
2026-06-15T15:07:06,12B-qat,speed,short,-,tok_s,130.8
2026-06-15T15:07:06,12B-qat,speed,ctx8k,-,tok_s,113.5
2026-06-15T15:39:43,12B-qat,lmeval,gpqa_diamond_cot_zeroshot,0,accuracy,0.6364
2026-06-15T15:47:14,12B-qat,inspect,gpqa_diamond,0,accuracy,0.581
2026-06-15T15:57:17,12B-qat,inspect,mmlu_pro,500,accuracy,0.782
2026-06-15T16:02:44,12B-qat,inspect,ifeval,500,accuracy,0.910
2026-06-15T16:22:16,12B-qat,hret,haerae_bench,500,accuracy,0.826
2026-06-15T16:44:38,12B-qat,hret,kmmlu,500,accuracy,0.57
2026-06-15T16:48:35,26B-bf16,speed,short,-,tok_s,200.0
